search_term,page_number,link,pid,lid
handbags,1,https://www.flipkart.com/rajendra-singh-women-black-handbag/p/itma5b7b05828fe4?pid=HMBH7Z55PZDMHBVH&lid=LSTHMBH7Z55PZDMHBVHPDDFGG&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_1&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBH7Z55PZDMHBVH.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBH7Z55PZDMHBVH,LSTHMBH7Z55PZDMHBVHPDDFGG
handbags,1,https://www.flipkart.com/eveda-women-yellow-tote/p/itmf7f1f51fb5a2a?pid=HMBGJGAGWZYYY22F&lid=LSTHMBGJGAGWZYYY22FTCHRKI&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_2&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBGJGAGWZYYY22F.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBGJGAGWZYYY22F,LSTHMBGJGAGWZYYY22FTCHRKI
handbags,1,https://www.flipkart.com/provogue-women-black-sling-bag/p/itm83482c09a7d3d?pid=HMBGEAJGDRX7SHZ6&lid=LSTHMBGEAJGDRX7SHZ6J4IADR&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_3&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBGEAJGDRX7SHZ6.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBGEAJGDRX7SHZ6,LSTHMBGEAJGDRX7SHZ6J4IADR
handbags,1,https://www.flipkart.com/floto-women-black-shoulder-bag/p/itm8e224dcaf6fdb?pid=HMBH2GZ9PZ9FDS8H&lid=LSTHMBH2GZ9PZ9FDS8HHSDWXD&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_4&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBH2GZ9PZ9FDS8H.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBH2GZ9PZ9FDS8H,LSTHMBH2GZ9PZ9FDS8HHSDWXD
handbags,1,https://www.flipkart.com/floto-women-tan-shoulder-bag/p/itmbcfec5af5aab8?pid=HMBH2GZ9JFWV7TAX&lid=LSTHMBH2GZ9JFWV7TAX5QY4TS&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_5&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBH2GZ9JFWV7TAX.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBH2GZ9JFWV7TAX,LSTHMBH2GZ9JFWV7TAX5QY4TS
handbags,1,https://www.flipkart.com/cara-women-purple-handbag/p/itm40aee11375400?pid=HMBH7YEFFGRGMXGV&lid=LSTHMBH7YEFFGRGMXGVDVWDLC&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_6&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBH7YEFFGRGMXGV.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBH7YEFFGRGMXGV,LSTHMBH7YEFFGRGMXGVDVWDLC
handbags,1,https://www.flipkart.com/cara-women-purple-handbag/p/itm4ec8682df154d?pid=HMBH7YEGGS5KZHAV&lid=LSTHMBH7YEGGS5KZHAVKK9XKI&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_7&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBH7YEGGS5KZHAV.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBH7YEGGS5KZHAV,LSTHMBH7YEGGS5KZHAVKK9XKI
handbags,1,https://www.flipkart.com/ap-ulike-women-black-messenger-bag/p/itm633d32ab285f9?pid=HMBH7ZJADVEVWACE&lid=LSTHMBH7ZJADVEVWACEVJ02WK&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_8&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBH7ZJADVEVWACE.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBH7ZJADVEVWACE,LSTHMBH7ZJADVEVWACEVJ02WK
handbags,1,https://www.flipkart.com/tenleather-women-brown-handbag/p/itm5948e6fcd83c6?pid=HMBHFGXUT4GJMUJJ&lid=LSTHMBHFGXUT4GJMUJJHSUKG0&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_9&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBHFGXUT4GJMUJJ.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBHFGXUT4GJMUJJ,LSTHMBHFGXUT4GJMUJJHSUKG0
handbags,1,https://www.flipkart.com/cara-women-brown-handbag/p/itm87ac775c8bf9a?pid=HMBH7XE4V3CRPGFS&lid=LSTHMBH7XE4V3CRPGFSFUASOI&marketplace=FLIPKART&q=handbags&store=reh%2Fihu&srno=s_1_10&otracker=search&iid=560969b2-d5d2-400a-b63f-0102af11cf5a.HMBH7XE4V3CRPGFS.SEARCH&ssid=cnvpvcw74w0000001736314539598&qH=4c22df4de48bb2df,HMBH7XE4V3CRPGFS,LSTHMBH7XE4V3CRPGFSFUASOI
