search_term,page_number,link,pid,lid
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT
shoes for men,1,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGCR4WFBGA5TYF.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGCR4WFBGA5TYF,LSTSHOGCR4WFBGA5TYFUHUUMH
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGPW9HDSXTBZZA.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGPW9HDSXTBZZA,LSTSHOGPW9HDSXTBZZA0XAHVK
shoes for men,1,https://www.flipkart.com/24era-premium-quality-running-shoes-casuals-men/p/itme03e53a6e63eb?pid=SHOH7Z7ZXEGJKWEE&lid=LSTSHOH7Z7ZXEGJKWEEUVQ4KL&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_5&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z7ZXEGJKWEE.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z7ZXEGJKWEE,LSTSHOH7Z7ZXEGJKWEEUVQ4KL
shoes for men,1,https://www.flipkart.com/azora-elite-mojaris-men/p/itmf1beae4f2de38?pid=SHOH7Z9HZZQABKNG&lid=LSTSHOH7Z9HZZQABKNGFYA0GP&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_6&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9HZZQABKNG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9HZZQABKNG,LSTSHOH7Z9HZZQABKNGFYA0GP
shoes for men,1,https://www.flipkart.com/lakhani-vardaan-jogging-walking-shoes-men-soft-cushioned-insole-slip-resistance-running-men/p/itm6f65648f62b99?pid=SHOH8YA4G9H5QETK&lid=LSTSHOH8YA4G9H5QETKVEPCFK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_7&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH8YA4G9H5QETK.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH8YA4G9H5QETK,LSTSHOH8YA4G9H5QETKVEPCFK
shoes for men,1,https://www.flipkart.com/kardam-sons-luxury-fashionable-stylish-light-weight-sneakers-white-men/p/itmed2a41f889880?pid=SHOGXTXHYWZ8KDNF&lid=LSTSHOGXTXHYWZ8KDNF57NVDM&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_8&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGXTXHYWZ8KDNF.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGXTXHYWZ8KDNF,LSTSHOGXTXHYWZ8KDNF57NVDM
shoes for men,1,https://www.flipkart.com/xhugoy-new-1007-xy-bk-6-boots-men/p/itm3bc79bd7dc62e?pid=SHOH7X5URDQ3VDCZ&lid=LSTSHOH7X5URDQ3VDCZRYFOEU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_9&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7X5URDQ3VDCZ.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7X5URDQ3VDCZ,LSTSHOH7X5URDQ3VDCZRYFOEU
shoes for men,1,https://www.flipkart.com/z-blue-imp-premium-gym-sports-training-stylish-extra-comfort-running-sneakers-men/p/itm71984ce9126cc?pid=SHOH7ZHQHNEBGXXX&lid=LSTSHOH7ZHQHNEBGXXX53XXQV&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_10&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7ZHQHNEBGXXX.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7ZHQHNEBGXXX,LSTSHOH7ZHQHNEBGXXX53XXQV
