search_term,page_number,link,pid,lid
bags for girls,1,https://www.flipkart.com/hyper-adam-girls-college-backpack-coaching-bag-school-tuition-waterproof/p/itm97eb94fcff464?pid=BAGGU7WAXHVXXGVU&lid=LSTBAGGU7WAXHVXXGVUD0OIYU&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_1&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGU7WAXHVXXGVU.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGU7WAXHVXXGVU,LSTBAGGU7WAXHVXXGVUD0OIYU
bags for girls,1,https://www.flipkart.com/urban-festivities-unicorn-bottle-pouch-pen-pencil-diary-stationery-set-waterproof-school-bag/p/itmc670e3aeefe66?pid=BAGGZ4YHMUUBZ9YG&lid=LSTBAGGZ4YHMUUBZ9YGWX4BXT&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_2&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGZ4YHMUUBZ9YG.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGZ4YHMUUBZ9YG,LSTBAGGZ4YHMUUBZ9YGWX4BXT
bags for girls,1,https://www.flipkart.com/sapna-rockstar-pink-waterproof-school-bag/p/itma24997a26eeee?pid=BAGGKPH8HRPWVYMF&lid=LSTBAGGKPH8HRPWVYMFN9M6CV&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_3&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGKPH8HRPWVYMF.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGKPH8HRPWVYMF,LSTBAGGKPH8HRPWVYMFN9M6CV
bags for girls,1,https://www.flipkart.com/dejan-34l-kids-bag-laptop-backpack-daypack-waterproof-school-bag/p/itm950c4692dce0a?pid=BAGGZF95QGSUMYG2&lid=LSTBAGGZF95QGSUMYG2LDUDFG&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_4&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGZF95QGSUMYG2.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGZF95QGSUMYG2,LSTBAGGZF95QGSUMYG2LDUDFG
bags for girls,1,https://www.flipkart.com/jairaj-school-bags-girls-college-coaching-bag-laptop-backpack-tuition-40-l/p/itmed641b5791a85?pid=BKPH4ZSQFRHZRST7&lid=LSTBKPH4ZSQFRHZRST7UGJLQJ&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_5&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPH4ZSQFRHZRST7.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPH4ZSQFRHZRST7,LSTBKPH4ZSQFRHZRST7UGJLQJ
bags for girls,1,https://www.flipkart.com/melvis-waterproof-kids-girls-women-20-l-backpack/p/itm49addaf5d4bcb?pid=BKPGY9DDCAUTYHTM&lid=LSTBKPGY9DDCAUTYHTMYDHRYY&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_6&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPGY9DDCAUTYHTM.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPGY9DDCAUTYHTM,LSTBKPGY9DDCAUTYHTMYDHRYY
bags for girls,1,https://www.flipkart.com/elon-large-barbie-backpack-1813-inch-pre-school-1st-std-5th-std-lightweight-waterproof-school-bag/p/itm2155fbefc82e4?pid=BAGGNB4YFHZVDXP3&lid=LSTBAGGNB4YFHZVDXP32CLYCK&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_7&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGNB4YFHZVDXP3.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGNB4YFHZVDXP3,LSTBAGGNB4YFHZVDXP32CLYCK
bags for girls,1,https://www.flipkart.com/tinytot-sb118-01-school-backpack-college-bag-travel-pencil-pouch-2nd-standard-onward-waterproof/p/itmc6a8bdcd2668b?pid=BAGFSPMAFJ4CMDZH&lid=LSTBAGFSPMAFJ4CMDZHFLUL3M&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_8&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGFSPMAFJ4CMDZH.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGFSPMAFJ4CMDZH,LSTBAGFSPMAFJ4CMDZHFLUL3M
bags for girls,1,https://www.flipkart.com/alison-attractive-women-s-girls-college-traveling-school-backpack-waterproof/p/itmf3477df4e07f5?pid=BAGGUW4HUETNPGZZ&lid=LSTBAGGUW4HUETNPGZZIU3ARD&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_9&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGUW4HUETNPGZZ.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGUW4HUETNPGZZ,LSTBAGGUW4HUETNPGZZIU3ARD
bags for girls,1,https://www.flipkart.com/tinytot-sb115-03-backpack-college-travel-pencil-pouch-2nd-standard-onward-waterproof-school-bag/p/itm4fde347ddf7ea?pid=BAGFSPMAGPJDZGGS&lid=LSTBAGFSPMAGPJDZGGSDKFNHO&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_10&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGFSPMAGPJDZGGS.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGFSPMAGPJDZGGS,LSTBAGFSPMAGPJDZGGSDKFNHO
