search_term,page_number,link,pid,lid
bags for men,1,https://www.flipkart.com/hinex-bags-men-women-backpack-school-bag-college-35-l/p/itm776d589c70452?pid=BKPGTKNEYNZHWFQA&lid=LSTBKPGTKNEYNZHWFQA74LFLY&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_1&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGTKNEYNZHWFQA.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGTKNEYNZHWFQA,LSTBKPGTKNEYNZHWFQA74LFLY
bags for men,1,https://www.flipkart.com/safari-ashper-pro-35-l-laptop-backpack/p/itm7e83f05ce4338?pid=BKPH3SBH7C8C7B9Z&lid=LSTBKPH3SBH7C8C7B9ZE0UR6Q&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_2&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPH3SBH7C8C7B9Z.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPH3SBH7C8C7B9Z,LSTBKPH3SBH7C8C7B9ZE0UR6Q
bags for men,1,https://www.flipkart.com/provogue-unisex-spacy-rain-cover-reflective-strip-35-l-laptop-backpack/p/itm67c27c7c91a54?pid=BKPFWJHMS8FUQFSW&lid=LSTBKPFWJHMS8FUQFSWYOEOO0&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_3&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFWJHMS8FUQFSW.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFWJHMS8FUQFSW,LSTBKPFWJHMS8FUQFSWYOEOO0
bags for men,1,https://www.flipkart.com/safari-ashper-cb-6-pockets-30-l-laptop-backpack/p/itm87a9d5a36af02?pid=BKPGH8YN3VRQF7ZH&lid=LSTBKPGH8YN3VRQF7ZHZKUEPP&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_4&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGH8YN3VRQF7ZH.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGH8YN3VRQF7ZH,LSTBKPGH8YN3VRQF7ZHZKUEPP
bags for men,1,https://www.flipkart.com/markway-laptop-backpack-water-resistant-blue-waterproof-school-bag-35-l/p/itm68bbf0d013258?pid=BKPGPPRVJGXJEPFJ&lid=LSTBKPGPPRVJGXJEPFJUBMPWK&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_5&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGPPRVJGXJEPFJ.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGPPRVJGXJEPFJ,LSTBKPGPPRVJGXJEPFJUBMPWK
bags for men,1,https://www.flipkart.com/mi-step-out-12-liters-water-repellent-backpack-l/p/itm019a85a6c08e3?pid=BKPFT348KJV2GCKS&lid=LSTBKPFT348KJV2GCKSHSIOHA&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_6&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFT348KJV2GCKS.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFT348KJV2GCKS,LSTBKPFT348KJV2GCKSHSIOHA
bags for men,1,https://www.flipkart.com/gear-vintage-2-leather-without-anti-theft-33-l-laptop-backpack/p/itm08f9e47928814?pid=BKPGSHNPJWHXUMDM&lid=LSTBKPGSHNPJWHXUMDMCJHW1A&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_7&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGSHNPJWHXUMDM.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGSHNPJWHXUMDM,LSTBKPGSHNPJWHXUMDMCJHW1A
bags for men,1,https://www.flipkart.com/skybags-brat-21-65-l-backpack/p/itm04aff3ff6fb19?pid=BKPGF764YQBHHGWJ&lid=LSTBKPGF764YQBHHGWJFL8MIF&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_8&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGF764YQBHHGWJ.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGF764YQBHHGWJ,LSTBKPGF764YQBHHGWJFL8MIF
bags for men,1,https://www.flipkart.com/wrogn-ashper-unisex-usb-port-rain-cover-40-l-laptop-backpack/p/itmc8df34df6a276?pid=BKPGMMHFKANMDYEP&lid=LSTBKPGMMHFKANMDYEPW7GKOF&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_9&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGMMHFKANMDYEP.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGMMHFKANMDYEP,LSTBKPGMMHFKANMDYEPW7GKOF
bags for men,1,https://www.flipkart.com/safari-ashper-cb-6-pockets-30-l-laptop-backpack/p/itm96ea30de5e4bf?pid=BKPGH8YNPHFQKKDZ&lid=LSTBKPGH8YNPHFQKKDZWYTYUL&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_10&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGH8YNPHFQKKDZ.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGH8YNPHFQKKDZ,LSTBKPGH8YNPHFQKKDZWYTYUL
bags for men,1,https://www.flipkart.com/bluejay-bag-men-women-office-college-school-35-l-backpack/p/itmde0c8ee3f8e2b?pid=BKPGZMJH4ZQGQFHH&lid=LSTBKPGZMJH4ZQGQFHHJWMJ5Y&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_11&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGZMJH4ZQGQFHH.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGZMJH4ZQGQFHH,LSTBKPGZMJH4ZQGQFHHJWMJ5Y
bags for men,1,https://www.flipkart.com/wesley-zeus-unisex-laptop-backpack-office-college-bag-business-bag-30-l-35/p/itm993cd2f49d815?pid=BKPGYEVWNDTYPFZH&lid=LSTBKPGYEVWNDTYPFZHTY59QC&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_12&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGYEVWNDTYPFZH.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGYEVWNDTYPFZH,LSTBKPGYEVWNDTYPFZHTY59QC
