search_term,page_number,link,pid,lid
lakme eyeconic,1,https://www.flipkart.com/lakm-9-5-eyeconic-kajal-twin-pack-lasts-upto-24hrs-pack-2/p/itm93b0954512cdd?pid=KJLF7VNFP2KXUCVQ&lid=LSTKJLF7VNFP2KXUCVQKKJVJI&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_1&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.KJLF7VNFP2KXUCVQ.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,KJLF7VNFP2KXUCVQ,LSTKJLF7VNFP2KXUCVQKKJVJI
lakme eyeconic,1,https://www.flipkart.com/lakm-9-5-eyeconic-curling-mascara-ml/p/itm55696998a165c?pid=MCRDDPHFCB8GZBWM&lid=LSTMCRDDPHFCB8GZBWMKXTOC9&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_2&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.MCRDDPHFCB8GZBWM.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,MCRDDPHFCB8GZBWM,LSTMCRDDPHFCB8GZBWMKXTOC9
lakme eyeconic,1,https://www.flipkart.com/lakm-eyeconic-smudgeproof-waterproof-kajal-pencil/p/itm62df2e0b52e4e?pid=KJLEGZVRD9Q8Q5TY&lid=LSTKJLEGZVRD9Q8Q5TYFCUWNC&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_3&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.KJLEGZVRD9Q8Q5TY.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,KJLEGZVRD9Q8Q5TY,LSTKJLEGZVRD9Q8Q5TYFCUWNC
lakme eyeconic,1,https://www.flipkart.com/lakm-9-5-eyeconic-kajal-twin-pack-lasts-upto-24hrs-po2/p/itm10d531df8a8c2?pid=KJLH3ZWVJXZEHFRH&lid=LSTKJLH3ZWVJXZEHFRHZB2AJH&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_4&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.KJLH3ZWVJXZEHFRH.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,KJLH3ZWVJXZEHFRH,LSTKJLH3ZWVJXZEHFRHZB2AJH
lakme eyeconic,1,https://www.flipkart.com/lakm-9-5-cc-cream-beige-foundation/p/itme522476c4f0e2?pid=CBKFXAWJKXCKAEQA&lid=LSTCBKFXAWJKXCKAEQAVIBP0X&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_5&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.CBKFXAWJKXCKAEQA.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,CBKFXAWJKXCKAEQA,LSTCBKFXAWJKXCKAEQAVIBP0X
lakme eyeconic,1,https://www.flipkart.com/lakm-9-5-cc-cream-bronze-20gm-spf-30-pa/p/itm9c1fa897f4eb6?pid=CBKFXAWJVSXBFU4E&lid=LSTCBKFXAWJVSXBFU4EXERHAL&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_6&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.CBKFXAWJVSXBFU4E.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,CBKFXAWJVSXBFU4E,LSTCBKFXAWJVSXBFU4EXERHAL
lakme eyeconic,1,https://www.flipkart.com/lakm-insta-cool-kajal-cucumber-extracts/p/itmf5f176b93b4f1?pid=KJLFZWZRJGMNU6FY&lid=LSTKJLFZWZRJGMNU6FYGCXZBO&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_7&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.KJLFZWZRJGMNU6FY.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,KJLFZWZRJGMNU6FY,LSTKJLFZWZRJGMNU6FYGCXZBO
lakme eyeconic,1,https://www.flipkart.com/lakm-eyeconic-pro-brush-liner-1-2-ml/p/itmf7ed90894130f?pid=ELRGR96348HZHE7M&lid=LSTELRGR96348HZHE7MBBXYTH&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_8&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.ELRGR96348HZHE7M.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,ELRGR96348HZHE7M,LSTELRGR96348HZHE7MBBXYTH
lakme eyeconic,1,https://www.flipkart.com/lakm-eyeconic-instacool-kajal-pack-2/p/itm4d8f7fd220e32?pid=KJLGFT2FZENQ3GKP&lid=LSTKJLGFT2FZENQ3GKP82M58B&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_9&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.KJLGFT2FZENQ3GKP.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,KJLGFT2FZENQ3GKP,LSTKJLGFT2FZENQ3GKP82M58B
lakme eyeconic,1,https://www.flipkart.com/lakm-eyeconic-smudgeproof-waterproof-kajal-pencil-deep-black-0-35-g/p/itm764ced6bdfd47?pid=KJLH43B5CEDGZTKD&lid=LSTKJLH43B5CEDGZTKD4RHN37&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_10&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.KJLH43B5CEDGZTKD.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,KJLH43B5CEDGZTKD,LSTKJLH43B5CEDGZTKD4RHN37
