search_term,page_number,link,pid,lid
shoes for men,1,https://www.flipkart.com/empeno-chunky-fashionable-sneaker-running-shoes-rubber-outsole-sneakers-men/p/itm717860e48f84b?pid=SHOH7ZMXXARVGHMH&lid=LSTSHOH7ZMXXARVGHMHGXJZPJ&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7ZMXXARVGHMH.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7ZMXXARVGHMH,LSTSHOH7ZMXXARVGHMHGXJZPJ
shoes for men,1,https://www.flipkart.com/eve-american-trendy-style-casual-outdoor-activities-sneakers-men/p/itme48597f7932e9?pid=SHOH6TB5JAKYYHHV&lid=LSTSHOH6TB5JAKYYHHVJVU5G1&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH6TB5JAKYYHHV.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH6TB5JAKYYHHV,LSTSHOH6TB5JAKYYHHVJVU5G1
shoes for men,1,https://www.flipkart.com/invictus-men-s-latest-formal-party-wear-slip-on-shoes-men/p/itmba5665f90a31a?pid=SHOH7YYXK6W4AC8P&lid=LSTSHOH7YYXK6W4AC8PTIBHTT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7YYXK6W4AC8P.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7YYXK6W4AC8P,LSTSHOH7YYXK6W4AC8PTIBHTT
shoes for men,1,https://www.flipkart.com/bacca-bucci-alpine-high-ankle-6-inches-riding-boots-mountaineering-hiking-trekking-men/p/itmed8f8df17f089?pid=SHOGMUPFNSYAA39T&lid=LSTSHOGMUPFNSYAA39TADXIF0&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOGMUPFNSYAA39T.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOGMUPFNSYAA39T,LSTSHOGMUPFNSYAA39TADXIF0
shoes for men,1,https://www.flipkart.com/zixer-men-s-streetwear-pro-style-high-top-platform-fashion-casual-shoes-men-sneakers/p/itmb43e8b8837625?pid=SHOG96DXGYSEYJQA&lid=LSTSHOG96DXGYSEYJQAZF1JOH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_5&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOG96DXGYSEYJQA.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOG96DXGYSEYJQA,LSTSHOG96DXGYSEYJQAZF1JOH
shoes for men,1,https://www.flipkart.com/asian-orbit-02-gym-sports-walking-stylsih-extra-comfort-running-shoes-men/p/itm8fa2dd546636f?pid=SHOH8YEXZRYHYEJH&lid=LSTSHOH8YEXZRYHYEJHOBVIFC&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_6&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH8YEXZRYHYEJH.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH8YEXZRYHYEJH,LSTSHOH8YEXZRYHYEJHOBVIFC
shoes for men,1,https://www.flipkart.com/rowlans-lightweight-stylish-casaual-comfortable-durable-sneakers-men/p/itm4e42b4be24f20?pid=SHOH7X2XJNZGZMYS&lid=LSTSHOH7X2XJNZGZMYS0LUKDS&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_7&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7X2XJNZGZMYS.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7X2XJNZGZMYS,LSTSHOH7X2XJNZGZMYS0LUKDS
shoes for men,1,https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-flora-05-sneakers-men/p/itmdae76b71e88d4?pid=SHOH8YEWXGCNVJSC&lid=LSTSHOH8YEWXGCNVJSCAKY7PW&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_8&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH8YEWXGCNVJSC.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH8YEWXGCNVJSC,LSTSHOH8YEWXGCNVJSCAKY7PW
shoes for men,1,https://www.flipkart.com/eliq-men-s-boy-s-play-black-sneaker-shoes-premium-rich-sneakers-men/p/itm33224e67a3bff?pid=SHOFK3ZQMUNCJJW7&lid=LSTSHOFK3ZQMUNCJJW70G0IPW&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_9&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOFK3ZQMUNCJJW7.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOFK3ZQMUNCJJW7,LSTSHOFK3ZQMUNCJJW70G0IPW
shoes for men,1,https://www.flipkart.com/sparx-sm-439-stylish-comfortable-sneakers-men/p/itm8b38bc1a4a408?pid=SHOH8Y9GGYYGHCHV&lid=LSTSHOH8Y9GGYYGHCHVKXGBXF&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_10&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH8Y9GGYYGHCHV.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH8Y9GGYYGHCHV,LSTSHOH8Y9GGYYGHCHVKXGBXF
