search_term,page_number,link,pid,lid,title,price,color_type,size_type
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZZGB2VGF6&lid=LSTSHOH7Z9ZZGB2VGF6JFBK0G&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZRTF3MFDC&lid=LSTSHOH7Z9ZRTF3MFDCVQOFPV&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZBDNGZENH&lid=LSTSHOH7Z9ZBDNGZENHMGEWF4&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZQC2XXFMZ&lid=LSTSHOH7Z9ZQC2XXFMZCK5JJD&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZGG7RBZRY&lid=LSTSHOH7Z9ZGG7RBZRYQJKKWJ&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z5F98GTKSSV&lid=LSTSHOH7Z5F98GTKSSVXIMA09&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WPHHNWCQU&lid=LSTSHOGFZ6WPHHNWCQUGANDDY&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itmb28cbd1e28e7b?pid=SHOGFZ6WSEQWZYAV&lid=LSTSHOGFZ6WSEQWZYAV8BAPDJ&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WW4XQHRTF&lid=LSTSHOGFZ6WW4XQHRTFT79FDE&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm816d65a8a92cd?pid=SHOGFZ6WZV53FWQY&lid=LSTSHOGFZ6WZV53FWQY2M2JGI&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6VY7XEPRYK&lid=LSTSHOGFZ6VY7XEPRYKDIGOG9&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
